iter	Passed	Remaining
0	6	6863
1	13	6611
2	19	6490
3	25	6421
4	31	6352
5	39	6487
6	45	6503
7	52	6470
8	58	6459
9	65	6469
10	71	6462
11	79	6519
12	85	6486
13	92	6483
14	98	6491
15	105	6516
16	112	6491
17	118	6477
18	125	6486
19	131	6465
20	138	6453
21	145	6458
22	152	6459
23	158	6457
24	164	6433
25	171	6432
26	177	6411
27	184	6410
28	191	6401
29	197	6389
30	204	6387
31	210	6379
32	217	6368
33	223	6362
34	230	6357
35	237	6350
36	243	6340
37	250	6336
38	256	6327
39	263	6313
40	269	6297
41	275	6282
42	281	6268
43	287	6253
44	294	6248
45	300	6237
46	307	6235
47	314	6230
48	321	6234
49	327	6223
50	334	6219
51	340	6213
52	347	6204
53	353	6199
54	360	6186
55	366	6181
56	373	6174
57	379	6170
58	386	6164
59	393	6157
60	399	6156
61	406	6151
62	412	6141
63	419	6140
64	426	6132
65	432	6122
66	438	6112
67	445	6111
68	452	6103
69	458	6093
70	464	6083
71	471	6074
72	477	6064
73	484	6057
74	490	6049
75	496	6030
76	502	6025
77	508	6016
78	515	6011
79	521	6000
80	528	5997
81	535	5990
82	541	5985
83	548	5979
84	554	5971
85	561	5963
86	567	5959
87	574	5949
88	580	5944
89	587	5937
90	594	5933
91	600	5924
92	606	5916
93	612	5906
94	619	5905
95	626	5895
96	632	5888
97	639	5882
98	645	5874
99	651	5866
100	657	5856
101	664	5847
102	671	5844
103	677	5837
104	684	5834
105	690	5826
106	697	5819
107	703	5810
108	710	5805
109	716	5796
110	722	5787
111	729	5783
112	736	5779
113	748	5817
114	759	5848
115	767	5848
116	776	5863
117	781	5837
118	787	5827
119	793	5818
120	800	5812
121	806	5804
122	812	5795
123	819	5786
124	825	5778
125	832	5774
126	839	5767
127	846	5763
128	852	5757
129	858	5748
130	864	5737
131	871	5730
132	877	5722
133	884	5714
134	890	5706
135	897	5700
136	903	5690
137	909	5683
138	916	5674
139	922	5666
140	928	5659
141	935	5650
142	941	5641
143	948	5639
144	955	5631
145	961	5625
146	968	5617
147	975	5613
148	982	5611
149	989	5609
150	996	5601
151	1002	5595
152	1009	5586
153	1015	5580
154	1022	5572
155	1028	5566
156	1034	5556
157	1041	5549
158	1047	5542
159	1054	5536
160	1058	5514
161	1064	5505
162	1071	5501
163	1077	5494
164	1084	5485
165	1090	5478
166	1096	5470
167	1103	5463
168	1109	5453
169	1115	5445
170	1122	5439
171	1128	5431
172	1134	5423
173	1140	5414
174	1147	5409
175	1153	5401
176	1160	5396
177	1166	5387
178	1173	5381
179	1179	5373
180	1186	5368
181	1192	5361
182	1199	5354
183	1205	5346
184	1212	5341
185	1218	5333
186	1225	5327
187	1231	5320
188	1238	5313
189	1244	5306
190	1252	5303
191	1258	5295
192	1264	5288
193	1271	5282
194	1278	5276
195	1284	5268
196	1290	5260
197	1297	5254
198	1303	5246
199	1310	5240
200	1316	5235
201	1323	5228
202	1330	5222
203	1336	5215
204	1343	5211
205	1350	5203
206	1356	5198
207	1363	5190
208	1369	5184
209	1376	5178
210	1383	5172
211	1389	5165
212	1396	5158
213	1402	5151
214	1409	5144
215	1415	5136
216	1421	5130
217	1428	5123
218	1434	5116
219	1441	5109
220	1447	5102
221	1454	5095
222	1461	5091
223	1467	5083
224	1473	5076
225	1479	5068
226	1486	5061
227	1492	5053
228	1499	5048
229	1506	5042
230	1512	5035
231	1518	5028
232	1525	5020
233	1531	5013
234	1538	5007
235	1544	5001
236	1551	4995
237	1558	4989
238	1565	4985
239	1572	4978
240	1578	4971
241	1585	4965
242	1592	4959
243	1598	4952
244	1604	4945
245	1611	4938
246	1617	4932
247	1624	4926
248	1631	4919
249	1637	4912
250	1643	4905
251	1650	4898
252	1656	4892
253	1663	4885
254	1670	4879
255	1676	4872
256	1683	4866
257	1689	4859
258	1695	4851
259	1702	4845
260	1708	4838
261	1715	4832
262	1721	4825
263	1728	4817
264	1734	4811
265	1741	4804
266	1747	4797
267	1753	4790
268	1760	4784
269	1767	4777
270	1773	4771
271	1780	4766
272	1787	4759
273	1793	4752
274	1800	4746
275	1806	4738
276	1813	4732
277	1819	4725
278	1825	4718
279	1832	4712
280	1839	4705
281	1845	4699
282	1851	4691
283	1858	4684
284	1864	4676
285	1871	4671
286	1877	4663
287	1883	4657
288	1890	4650
289	1896	4644
290	1903	4637
291	1909	4630
292	1915	4623
293	1922	4616
294	1928	4609
295	1935	4603
296	1941	4595
297	1948	4590
298	1955	4583
299	1961	4577
300	1968	4571
301	1975	4565
302	1981	4558
303	1988	4553
304	1994	4545
305	2001	4539
306	2008	4533
307	2015	4529
308	2022	4523
309	2029	4516
310	2035	4510
311	2042	4503
312	2049	4497
313	2055	4490
314	2061	4482
315	2067	4476
316	2075	4471
317	2081	4464
318	2088	4457
319	2094	4451
320	2100	4443
321	2107	4437
322	2113	4430
323	2120	4424
324	2126	4417
325	2133	4410
326	2139	4403
327	2145	4396
328	2152	4389
329	2159	4384
330	2166	4377
331	2172	4371
332	2178	4363
333	2185	4357
334	2191	4350
335	2198	4343
336	2204	4336
337	2211	4330
338	2217	4324
339	2224	4317
340	2230	4311
341	2237	4304
